product_id,product_name,category,price,stock_quantity,brand,rating,date_added,merchant_id,tags,details,content
P200,Day Option,Beverages,262.98,116,Conway and Sons,4.1,2024-01-08,M163,"['movie', 'other', 'probably']","{'flavor': 'Chamomile', 'ingredients': ['Tea leaves'], 'weight': '206g', 'origin': 'Japan', 'packaging': 'Bag', 'shelf_life': '24 months'}",Day Option Beverages movie other probably Conway and Sons Chamomile ['Tea leaves'] 206g Japan Bag 24 months
P201,Employee Contain,Sports & Outdoors,206.91,122,"Roy, Pratt and Patterson",4.5,2024-06-15,M165,"['reveal', 'fear', 'industry']","{'material': 'Rubber', 'dimensions': '70x27 inches', 'thickness': '6mm', 'weight': '2.5 lbs', 'color': 'Blue', 'waterproof': True}","Employee Contain Sports & Outdoors reveal fear industry Roy, Pratt and Patterson Rubber 70x27 inches 6mm 2.5 lbs Blue True"
P202,Court Authority,Sports & Outdoors,291.51,127,Davis-Duarte,4.9,2024-09-07,M166,"['during', 'election', 'research']","{'material': 'Foam', 'dimensions': '71x22 inches', 'thickness': '7mm', 'weight': '2.8 lbs', 'color': 'Black', 'waterproof': False}",Court Authority Sports & Outdoors during election research Davis-Duarte Foam 71x22 inches 7mm 2.8 lbs Black False
P203,Country Number,Beverages,204.97,390,Hart-Mitchell,4.8,2024-07-29,M171,"['story', 'next', 'writer']","{'flavor': 'Chamomile', 'ingredients': ['Ginger'], 'weight': '413g', 'origin': 'China', 'packaging': 'Box', 'shelf_life': '20 months'}",Country Number Beverages story next writer Hart-Mitchell Chamomile ['Ginger'] 413g China Box 20 months
P204,Carry History,Electronics,95.38,271,Adams LLC,3.8,2024-06-09,M152,"['edge', 'husband', 'drop']","{'battery_life': '12 hours', 'charging_time': '3 hours', 'connectivity': 'Bluetooth 5.0', 'noise_cancellation': 'Active', 'water_resistance': 'IPX4'}",Carry History Electronics edge husband drop Adams LLC 12 hours 3 hours Bluetooth 5.0 Active IPX4
P205,Social Practice,Books,202.95,35,"Bates, Perkins and Allen",3.7,2024-02-24,M128,"['until', 'cold', 'see']","{'title': 'Less beyond national.', 'author': 'Peter Phillips', 'release_year': 2019, 'published_year': 2001, 'number_of_pages': 631, 'ISBN': '978-0-219-61425-0', 'language': 'English', 'genre': 'Mystery'}","Social Practice Books until cold see Bates, Perkins and Allen Less beyond national. Peter Phillips 2019 2001 631 978-0-219-61425-0 English Mystery"
P206,Story Organization,Electronics,223.27,393,Berger-Lucas,4.1,2024-03-05,M141,"['church', 'determine', 'throw']","{'battery_life': '13 hours', 'charging_time': '1 hours', 'connectivity': 'Wi-Fi', 'noise_cancellation': 'Active', 'water_resistance': 'IPX4'}",Story Organization Electronics church determine throw Berger-Lucas 13 hours 1 hours Wi-Fi Active IPX4
P207,Mother Single,Sports & Outdoors,228.49,301,Stewart LLC,4.6,2024-11-04,M199,"['pull', 'race', 'interview']","{'material': 'Rubber', 'dimensions': '66x29 inches', 'thickness': '3mm', 'weight': '1.4 lbs', 'color': 'Black', 'waterproof': True}",Mother Single Sports & Outdoors pull race interview Stewart LLC Rubber 66x29 inches 3mm 1.4 lbs Black True
P208,Trial Team,Beverages,73.92,427,Murray Group,4.4,2024-08-03,M192,"['almost', 'my', 'individual']","{'flavor': 'Green Tea', 'ingredients': ['Ginger'], 'weight': '497g', 'origin': 'China', 'packaging': 'Box', 'shelf_life': '11 months'}",Trial Team Beverages almost my individual Murray Group Green Tea ['Ginger'] 497g China Box 11 months
P209,Plant Short,Books,245.69,102,"English, Armstrong and Sanchez",3.5,2024-04-15,M161,"['oil', 'career', 'adult']","{'title': 'Lot factor different.', 'author': 'Molly Avila', 'release_year': 2011, 'published_year': 2019, 'number_of_pages': 412, 'ISBN': '978-0-641-07283-3', 'language': 'German', 'genre': 'Fiction'}","Plant Short Books oil career adult English, Armstrong and Sanchez Lot factor different. Molly Avila 2011 2019 412 978-0-641-07283-3 German Fiction"
P210,North Rest,Books,56.69,95,Torres-Powers,4.6,2024-09-02,M179,"['few', 'think', 'can']","{'title': 'The explain class.', 'author': 'Courtney Burton', 'release_year': 2008, 'published_year': 2004, 'number_of_pages': 418, 'ISBN': '978-1-4049-0430-9', 'language': 'German', 'genre': 'Mystery'}",North Rest Books few think can Torres-Powers The explain class. Courtney Burton 2008 2004 418 978-1-4049-0430-9 German Mystery
P211,Affect Tax,Books,49.69,163,Young-Yoder,3.1,2024-01-19,M166,"['customer', 'door', 'tonight']","{'title': 'Health add practice across.', 'author': 'Angela Gutierrez', 'release_year': 2001, 'published_year': 2003, 'number_of_pages': 539, 'ISBN': '978-1-187-15343-7', 'language': 'French', 'genre': 'Non-Fiction'}",Affect Tax Books customer door tonight Young-Yoder Health add practice across. Angela Gutierrez 2001 2003 539 978-1-187-15343-7 French Non-Fiction
P212,Mrs Different,Sports & Outdoors,49.61,115,Lewis-Duran,4.8,2024-08-19,M184,"['center', 'model', 'local']","{'material': 'Rubber', 'dimensions': '78x27 inches', 'thickness': '7mm', 'weight': '1.2 lbs', 'color': 'Blue', 'waterproof': False}",Mrs Different Sports & Outdoors center model local Lewis-Duran Rubber 78x27 inches 7mm 1.2 lbs Blue False
P213,Scientist Lose,Sports & Outdoors,19.52,196,"Haynes, Ayala and Holden",4.6,2024-10-23,M109,"['land', 'team', 'hotel']","{'material': 'Polyester', 'dimensions': '80x21 inches', 'thickness': '8mm', 'weight': '1.4 lbs', 'color': 'Green', 'waterproof': False}","Scientist Lose Sports & Outdoors land team hotel Haynes, Ayala and Holden Polyester 80x21 inches 8mm 1.4 lbs Green False"
P214,Party President,Sports & Outdoors,67.35,35,Hunt Group,4.2,2024-03-29,M118,"['medical', 'believe', 'system']","{'material': 'Foam', 'dimensions': '70x26 inches', 'thickness': '5mm', 'weight': '1.0 lbs', 'color': 'Black', 'waterproof': True}",Party President Sports & Outdoors medical believe system Hunt Group Foam 70x26 inches 5mm 1.0 lbs Black True
P215,Issue Manager,Beverages,293.96,359,Crawford-Lopez,3.2,2024-04-26,M106,"['effort', 'reason', 'player']","{'flavor': 'Earl Grey', 'ingredients': ['Mint'], 'weight': '388g', 'origin': 'Japan', 'packaging': 'Box', 'shelf_life': '13 months'}",Issue Manager Beverages effort reason player Crawford-Lopez Earl Grey ['Mint'] 388g Japan Box 13 months
P216,Much Message,Electronics,110.65,86,"Daniel, Reed and Kim",3.6,2024-01-03,M198,"['only', 'trade', 'sister']","{'battery_life': '10 hours', 'charging_time': '1 hours', 'connectivity': 'Bluetooth 4.2', 'noise_cancellation': 'Passive', 'water_resistance': 'IPX7'}","Much Message Electronics only trade sister Daniel, Reed and Kim 10 hours 1 hours Bluetooth 4.2 Passive IPX7"
P217,Already Suddenly,Wearables,124.89,166,"Armstrong, Jones and Flores",4.7,2024-06-01,M168,"['walk', 'direction', 'draw']","{'display_type': 'AMOLED', 'battery_life': '21 hours', 'connectivity': 'Bluetooth 5.2', 'sensors': ['Heart rate'], 'water_resistance': 'IP68', 'compatibility': 'iOS'}","Already Suddenly Wearables walk direction draw Armstrong, Jones and Flores AMOLED 21 hours Bluetooth 5.2 ['Heart rate'] IP68 iOS"
P218,Long Drive,Books,263.48,40,"Alvarez, Cooper and Howell",4.6,2024-03-21,M104,"['audience', 'figure', 'care']","{'title': 'Cost kitchen benefit.', 'author': 'Angela Maynard', 'release_year': 2014, 'published_year': 2019, 'number_of_pages': 326, 'ISBN': '978-0-05-445457-8', 'language': 'Spanish', 'genre': 'Science'}","Long Drive Books audience figure care Alvarez, Cooper and Howell Cost kitchen benefit. Angela Maynard 2014 2019 326 978-0-05-445457-8 Spanish Science"
P219,Color Understand,Sports & Outdoors,135.98,156,Dillon-Williams,4.4,2024-09-26,M117,"['blood', 'stand', 'discussion']","{'material': 'Rubber', 'dimensions': '75x21 inches', 'thickness': '5mm', 'weight': '1.0 lbs', 'color': 'Green', 'waterproof': False}",Color Understand Sports & Outdoors blood stand discussion Dillon-Williams Rubber 75x21 inches 5mm 1.0 lbs Green False
P220,Future Long,Electronics,294.37,23,"White, Reese and Robinson",4.3,2024-02-01,M198,"['eat', 'rule', 'past']","{'battery_life': '14 hours', 'charging_time': '3 hours', 'connectivity': 'Bluetooth 5.0', 'noise_cancellation': 'Active', 'water_resistance': 'IPX4'}","Future Long Electronics eat rule past White, Reese and Robinson 14 hours 3 hours Bluetooth 5.0 Active IPX4"
P221,What Yeah,Beverages,231.19,410,"Cross, Townsend and Smith",4.1,2024-06-07,M198,"['blue', 'their', 'manager']","{'flavor': 'Green Tea', 'ingredients': ['Tea leaves'], 'weight': '324g', 'origin': 'China', 'packaging': 'Bag', 'shelf_life': '18 months'}","What Yeah Beverages blue their manager Cross, Townsend and Smith Green Tea ['Tea leaves'] 324g China Bag 18 months"
P222,Similar Mind,Beverages,231.91,78,Ramirez Ltd,4.9,2024-09-05,M189,"['for', 'amount', 'station']","{'flavor': 'Earl Grey', 'ingredients': ['Ginger'], 'weight': '243g', 'origin': 'India', 'packaging': 'Box', 'shelf_life': '13 months'}",Similar Mind Beverages for amount station Ramirez Ltd Earl Grey ['Ginger'] 243g India Box 13 months
P223,Teacher Close,Beverages,75.51,367,"Sanchez, Santos and Hanson",4.0,2024-07-10,M176,"['everything', 'focus', 'particularly']","{'flavor': 'Green Tea', 'ingredients': ['Ginger'], 'weight': '352g', 'origin': 'India', 'packaging': 'Box', 'shelf_life': '11 months'}","Teacher Close Beverages everything focus particularly Sanchez, Santos and Hanson Green Tea ['Ginger'] 352g India Box 11 months"
P224,Important After,Electronics,238.17,288,Mack PLC,3.9,2024-02-13,M128,"['outside', 'have', 'four']","{'battery_life': '17 hours', 'charging_time': '2 hours', 'connectivity': 'Wi-Fi', 'noise_cancellation': 'Passive', 'water_resistance': 'IPX4'}",Important After Electronics outside have four Mack PLC 17 hours 2 hours Wi-Fi Passive IPX4
P225,Anyone Right,Wearables,285.8,287,Kline Group,3.9,2024-11-05,M128,"['itself', 'walk', 'edge']","{'display_type': 'AMOLED', 'battery_life': '26 hours', 'connectivity': 'Wi-Fi', 'sensors': ['Accelerometer'], 'water_resistance': 'IP67', 'compatibility': 'Android'}",Anyone Right Wearables itself walk edge Kline Group AMOLED 26 hours Wi-Fi ['Accelerometer'] IP67 Android
P226,Give Ahead,Sports & Outdoors,220.52,266,"Ward, Alvarez and Patel",3.0,2024-08-31,M103,"['must', 'general', 'upon']","{'material': 'Rubber', 'dimensions': '70x24 inches', 'thickness': '7mm', 'weight': '1.2 lbs', 'color': 'Black', 'waterproof': True}","Give Ahead Sports & Outdoors must general upon Ward, Alvarez and Patel Rubber 70x24 inches 7mm 1.2 lbs Black True"
P227,Push Occur,Sports & Outdoors,168.83,86,"Nichols, Moore and Wilson",3.4,2024-04-30,M144,"['value', 'power', 'amount']","{'material': 'Foam', 'dimensions': '72x27 inches', 'thickness': '8mm', 'weight': '1.1 lbs', 'color': 'Green', 'waterproof': True}","Push Occur Sports & Outdoors value power amount Nichols, Moore and Wilson Foam 72x27 inches 8mm 1.1 lbs Green True"
P228,Smile Prevent,Wearables,156.65,388,Williamson Ltd,3.1,2024-04-10,M181,"['claim', 'range', 'three']","{'display_type': 'AMOLED', 'battery_life': '34 hours', 'connectivity': 'Wi-Fi', 'sensors': ['Heart rate'], 'water_resistance': 'IP68', 'compatibility': 'Android'}",Smile Prevent Wearables claim range three Williamson Ltd AMOLED 34 hours Wi-Fi ['Heart rate'] IP68 Android
P229,Democratic Interest,Books,294.03,470,Hall PLC,3.9,2024-10-31,M168,"['road', 'reduce', 'adult']","{'title': 'Summer have.', 'author': 'Dillon Roberts', 'release_year': 2018, 'published_year': 2006, 'number_of_pages': 565, 'ISBN': '978-0-10-876018-1', 'language': 'English', 'genre': 'Non-Fiction'}",Democratic Interest Books road reduce adult Hall PLC Summer have. Dillon Roberts 2018 2006 565 978-0-10-876018-1 English Non-Fiction
P230,Since Painting,Electronics,280.43,464,Castillo-Gibson,3.0,2024-03-13,M172,"['indicate', 'pull', 'ok']","{'battery_life': '17 hours', 'charging_time': '1 hours', 'connectivity': 'Bluetooth 5.0', 'noise_cancellation': 'Passive', 'water_resistance': 'IPX7'}",Since Painting Electronics indicate pull ok Castillo-Gibson 17 hours 1 hours Bluetooth 5.0 Passive IPX7
P231,Relationship Training,Books,278.73,59,Moran and Sons,4.2,2024-08-08,M102,"['east', 'term', 'pretty']","{'title': 'Condition.', 'author': 'Bruce Medina', 'release_year': 2005, 'published_year': 2015, 'number_of_pages': 159, 'ISBN': '978-0-05-538058-6', 'language': 'French', 'genre': 'Mystery'}",Relationship Training Books east term pretty Moran and Sons Condition. Bruce Medina 2005 2015 159 978-0-05-538058-6 French Mystery
P232,Know Board,Electronics,235.31,274,Michael-Graham,4.3,2024-02-05,M171,"['mother', 'that', 'happen']","{'battery_life': '11 hours', 'charging_time': '3 hours', 'connectivity': 'Wi-Fi', 'noise_cancellation': 'Active', 'water_resistance': 'IPX5'}",Know Board Electronics mother that happen Michael-Graham 11 hours 3 hours Wi-Fi Active IPX5
P233,Attorney Over,Electronics,96.58,282,Smith LLC,3.6,2024-04-02,M129,"['sister', 'democratic', 'quickly']","{'battery_life': '12 hours', 'charging_time': '1 hours', 'connectivity': 'Wi-Fi', 'noise_cancellation': 'Passive', 'water_resistance': 'IPX4'}",Attorney Over Electronics sister democratic quickly Smith LLC 12 hours 1 hours Wi-Fi Passive IPX4
